Date,Time,VFR(%),A2(V),RSSI(dB),RxBt(V),VSpd(m/s),Alt(m),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2022-12-11,19:36:09.290,0,0.0,0,0.0,0.0,0.0,0,-1024,0,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1562,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:09.470,0,11.5,95,4.1,0.0,0.0,0,-1024,0,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1562,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:09.660,0,11.5,98,4.1,0.0,0.0,0,-1024,0,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1562,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:09.860,100,11.5,98,4.1,-0.1,0.0,0,-1024,0,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1562,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:10.060,100,11.5,100,4.1,-0.1,-0.1,0,-1024,-133,-2,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1418,1661,1569,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:10.260,100,11.5,100,4.1,-0.2,-0.1,0,-1024,2,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1562,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:10.460,100,11.5,100,4.1,-0.2,-0.2,0,-1024,1,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1562,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:10.660,100,11.5,100,4.1,-0.3,-0.3,0,-1024,1,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1562,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:10.860,100,11.5,100,4.1,-0.2,-0.4,-202,-1024,1,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1562,1545,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2022-12-11,19:36:11.060,100,11.5,100,4.1,-0.2,-0.4,-2,-197,1,-1,1024,1024,-1,1,-1,1,-1,-1,0x0000000000000000,1395,1682,1461,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
